Time, in s	Altitude in m	Velocity in m/s
67.1	9395.4303851279	352.9000710924
67.2	9424.010021177	353.8524520447
67.3	9452.853176488	354.7651504574
67.4	9482.2025975374	355.7620094506
67.5	9512.1524876152	356.7913811251
67.6	9542.676915241	357.8549906991
67.7	9573.6994524909	358.8492063492
67.8	9605.103650077	359.8015873016
67.9	9636.7290891287	360.753968254
68	9668.4069655486	361.746031746
68.1	9700.0405472427	362.6984126984
68.2	9731.6132179677	363.6507936508
68.3	9763.1653078304	364.6031746032
68.4	9794.7265921338	365.5952380952
68.5	9826.305650369	366.5476190476
68.6	9857.8927296684	367.5396825397
68.7	9889.4779157308	368.4920634921
68.8	9921.0560973872	369.4444444444
68.9	9952.6289483739	370.4365079365
69	9984.2024582336	371.3888888889
69.1	10015.7847943694	372.3412698413
69.2	10047.3791960443	373.3333333333
69.3	10078.9747051056	374.2857142857
69.4	10110.5465442852	375.2380952381
69.5	10142.075049479	376.2301587302
69.6	10173.5895515757	377.1825396825
69.7	10205.1726240367	378.1746031746
69.8	10236.9399517594	379.1666666667
69.9	10268.9670753733	380.119047619
70	10301.2805308219	381.0714285714
70.1	10333.874451587	382.0634920635
70.2	10366.7542925998	383.0555555556
70.3	10399.9058673678	384.0476190476
70.4	10433.2733202424	385.0396825397
70.5	10466.719216977	386.0317460317
70.6	10500.0900620245	387.0238095238
70.7	10533.2533637508	388.0555555556
70.8	10566.1496788847	389.0476190476
70.9	10598.7467907356	390.0396825397
71	10631.0238938666	391.0714285714
71.1	10662.9857630969	392.0634920635
71.2	10694.7224516354	393.0555555556
71.3	10726.4195569131	394.0873015873
71.4	10758.2861441739	395.0793650794
71.5	10790.4514370573	396.1111111111
71.6	10822.9507585246	397.1428571429
71.7	10855.765963247	398.1349206349
71.8	10888.8522827041	399.1666666667
71.9	10922.1381010438	400.1984126984
72	10955.5180658418	401.1904761905
72.1	10988.9007255625	402.2222222222
72.2	11022.2445165015	403.253968254
72.3	11055.561117703	404.246031746
72.4	11088.8791639327	405.2380952381
72.5	11122.2171662835	406.2698412698
72.6	11155.5707966795	407.2619047619
72.7	11188.9159520398	408.2936507937
72.8	11222.2201516977	409.3253968254
72.9	11255.4890289123	410.3571428571
73	11288.7903612412	411.3888888889
73.1	11322.2449338979	412.4603174603
73.2	11355.9622577535	413.4920634921
73.3	11390.0116859758	414.5634920635
73.4	11424.4279852552	415.6349206349
73.5	11459.1921829695	416.7063492064
73.6	11494.1784392952	417.7380952381
73.7	11529.1577419471	418.8095238095
